время[c],напряжение[В]
0.000662,1.935484
0.001258,1.935484
0.001908,1.935484
0.002570,1.940371
0.003213,1.935484
0.003862,1.940371
0.004521,1.935484
0.005200,1.935484
0.005863,1.935484
0.006573,1.940371
0.007295,1.945259
0.007984,1.935484
0.008702,1.935484
0.009382,1.935484
0.010083,1.935484
0.010795,1.935484
0.011522,1.940371
0.012185,1.945259
0.012909,1.964809
0.013682,1.959922
0.014451,1.959922
0.015142,1.930596
0.015789,1.935484
0.016432,1.935484
0.017051,1.940371
0.017694,1.940371
0.018436,1.940371
0.019204,1.940371
0.019986,1.935484
0.020651,1.940371
0.021334,1.940371
0.022038,1.940371
0.022724,1.940371
0.025039,1.940371
0.025711,1.945259
0.026358,1.940371
0.027002,1.945259
0.027678,1.935484
0.028387,1.925709
0.029053,1.945259
0.029793,1.935484
0.030481,1.935484
0.031142,1.940371
0.031740,1.940371
0.032306,1.945259
0.032864,1.945259
0.033422,1.950147
0.033976,1.940371
0.034533,1.955034
0.035088,1.950147
0.035674,1.955034
0.037320,1.950147
0.037910,1.945259
0.038788,1.945259
0.039422,1.950147
0.040083,1.940371
0.040718,1.945259
0.041351,1.945259
0.041990,1.940371
0.042622,1.935484
0.043251,1.940371
0.043895,1.940371
0.044556,1.940371
0.045213,1.945259
0.045880,1.950147
0.046525,1.940371
0.047135,1.945259
0.047771,1.945259
0.048442,1.945259
0.049132,1.940371
0.049775,1.945259
0.050416,1.940371
0.051062,1.940371
0.051678,1.945259
0.052336,1.945259
0.052983,1.940371
0.053638,1.940371
0.054254,1.940371
0.054874,1.945259
0.055518,1.945259
0.056230,1.945259
0.056995,1.945259
0.057633,1.940371
0.058233,1.940371
0.058920,1.945259
0.059561,1.945259
0.060201,1.940371
0.060855,1.945259
0.061494,1.940371
0.062113,1.945259
0.062772,1.945259
0.063416,1.940371
0.064030,1.940371
0.064689,1.940371
0.065358,1.945259
0.066061,1.945259
0.066744,1.950147
0.067416,1.945259
0.068090,1.945259
0.068751,1.945259
0.069455,1.945259
0.070135,1.945259
0.070788,1.940371
0.071483,1.945259
0.072150,1.940371
0.072830,1.940371
0.073539,1.945259
0.074218,1.940371
0.074885,1.940371
0.075567,1.940371
0.076270,1.935484
0.076945,1.955034
0.077611,1.955034
0.078266,1.959922
0.078923,1.935484
0.079591,1.945259
0.080258,1.940371
0.080928,1.940371
0.081621,1.940371
0.082289,1.940371
0.082950,1.945259
0.083612,1.940371
0.084251,1.945259
0.084929,1.945259
0.085598,1.945259
0.086346,1.950147
0.087035,1.940371
0.087700,1.940371
0.088345,1.945259
0.088993,1.945259
0.089611,1.950147
0.090252,1.940371
0.090930,1.945259
0.091691,1.945259
0.092518,1.940371
0.093327,1.935484
0.094113,1.940371
0.094778,1.935484
0.095513,1.935484
0.096499,1.935484
0.097397,1.950147
0.098315,1.950147
0.099096,1.940371
0.099875,1.940371
0.100682,1.935484
0.101455,1.940371
0.102214,1.935484
0.103088,1.945259
0.103852,1.945259
0.104645,1.940371
0.105525,1.940371
0.106501,1.940371
0.107448,1.935484
0.108298,1.945259
0.109039,1.945259
0.109952,1.945259
0.110746,1.945259
0.111537,1.945259
0.112248,1.940371
0.113024,1.950147
0.113782,1.945259
0.114537,1.940371
0.115294,1.945259
0.115992,1.940371
0.116657,1.940371
0.117312,1.935484
0.118027,1.940371
0.118727,1.940371
0.119567,1.940371
0.120345,1.935484
0.121203,1.940371
0.121925,1.950147
0.122715,1.940371
0.123448,1.935484
0.124212,1.940371
0.124839,1.950147
0.125425,1.940371
0.126018,1.950147
0.126604,1.945259
0.127190,1.950147
0.127763,1.950147
0.128334,1.945259
0.128903,1.940371
0.129477,1.945259
0.130064,1.945259
0.130648,1.945259
0.131269,1.940371
0.131931,1.935484
0.133631,1.945259
0.134534,1.945259
0.135562,1.940371
0.136323,1.940371
0.137015,1.935484
0.137719,1.940371
0.138613,1.935484
0.139506,1.945259
0.140320,1.940371
0.141106,1.940371
0.141916,1.940371
0.142676,1.940371
0.143359,1.940371
0.144034,1.940371
0.144700,1.940371
0.145358,1.940371
0.146029,1.940371
0.146689,1.945259
0.147352,1.940371
0.148001,1.940371
0.148654,1.940371
0.150271,1.940371
0.150903,1.940371
0.151583,1.940371
0.152231,1.935484
0.152921,1.945259
0.153566,1.935484
0.154214,1.940371
0.154872,1.945259
0.155524,1.935484
0.156196,1.935484
0.156872,1.940371
0.157514,1.940371
0.158182,1.935484
0.158808,1.945259
0.159474,1.940371
0.161047,1.940371
0.161742,1.940371
0.162376,1.940371
0.163038,1.945259
0.163688,1.945259
0.164349,1.940371
0.165002,1.945259
0.165646,1.935484
0.166318,1.940371
0.166979,1.940371
0.167639,1.940371
0.168495,1.935484
0.169171,1.940371
0.170032,1.940371
0.170818,1.940371
0.171525,1.940371
0.172224,1.940371
0.173114,1.940371
0.173943,1.940371
0.174688,1.935484
0.175428,1.935484
0.176115,1.935484
0.176821,1.940371
0.177577,1.935484
0.178281,1.940371
0.179084,1.935484
0.179847,1.945259
0.180627,1.940371
0.181404,1.940371
0.182204,1.940371
0.182986,1.935484
0.183755,1.945259
0.184448,1.940371
0.185127,1.940371
0.185813,1.940371
0.186519,1.940371
0.187211,1.945259
0.187885,1.940371
0.188580,1.935484
0.189323,1.940371
0.190114,1.935484
0.190788,1.935484
0.191565,1.940371
0.192263,1.930596
0.193078,1.935484
0.194243,1.935484
0.195180,1.935484
0.196087,1.935484
0.196979,1.935484
0.197882,1.935484
0.198788,1.935484
0.199727,1.940371
0.200582,1.940371
0.201315,1.945259
0.202081,1.940371
0.202825,1.935484
0.203555,1.935484
0.204359,1.940371
0.205232,1.935484
0.206066,1.935484
0.206770,1.940371
0.207511,1.935484
0.208423,1.940371
0.209280,1.945259
0.210131,1.930596
0.210927,1.935484
0.211687,1.940371
0.212411,1.935484
0.213127,1.940371
0.213840,1.940371
0.214548,1.940371
0.215448,1.935484
0.216258,1.940371
0.217168,1.935484
0.217948,1.940371
0.218664,1.940371
0.219405,1.935484
0.220115,1.940371
0.220757,1.940371
0.221338,1.945259
0.221922,1.945259
0.222503,1.945259
0.223092,1.945259
0.223670,1.950147
0.224241,1.945259
0.224824,1.950147
0.225421,1.945259
0.226042,1.945259
0.226688,1.945259
0.227304,1.945259
0.227953,1.945259
0.228630,1.940371
0.229320,1.940371
0.229964,1.940371
0.230639,1.940371
0.231306,1.940371
0.231968,1.940371
0.232645,1.940371
0.233304,1.940371
0.233985,1.940371
0.234691,1.940371
0.235368,1.935484
0.236076,1.935484
0.236809,1.935484
0.237481,1.940371
0.238175,1.940371
0.238867,1.935484
0.239530,1.935484
0.240178,1.935484
0.240851,1.935484
0.241530,1.945259
0.242187,1.940371
0.242895,1.930596
0.243568,1.940371
0.244265,1.940371
0.244910,1.940371
0.245569,1.940371
0.246280,1.945259
0.246989,1.945259
0.247685,1.940371
0.248321,1.940371
0.248980,1.940371
0.249667,1.940371
0.250326,1.940371
0.250981,1.940371
0.251628,1.935484
0.253184,1.940371
0.253861,1.940371
0.254572,1.935484
0.255209,1.940371
0.255872,1.935484
0.256542,1.940371
0.257199,1.940371
0.257874,1.940371
0.258550,1.940371
0.259232,1.940371
0.259884,1.940371
0.260547,1.940371
0.261249,1.940371
0.261977,1.940371
0.262644,1.940371
0.263303,1.935484
0.263994,1.940371
0.264653,1.935484
0.265308,1.950147
0.265989,1.945259
0.266676,1.940371
0.267362,1.940371
0.268045,1.940371
0.268727,1.945259
0.269418,1.940371
0.270126,1.940371
0.270812,1.940371
0.271480,1.940371
0.272128,1.940371
0.272829,1.935484
0.273471,1.945259
0.275742,1.945259
0.276542,1.935484
0.277384,1.940371
0.278104,1.940371
0.278936,1.940371
0.279826,1.935484
0.280621,1.930596
0.281368,1.940371
0.282084,1.940371
0.282810,1.935484
0.283563,1.935484
0.284299,1.925709
0.285100,1.940371
0.285884,1.935484
0.286645,1.935484
0.287403,1.940371
0.288208,1.930596
0.289064,1.940371
0.289788,1.930596
0.290593,1.935484
0.291331,1.940371
0.292008,1.935484
0.292691,1.940371
0.293370,1.945259
0.294042,1.940371
0.294737,1.935484
0.295477,1.935484
0.296254,1.930596
0.297030,1.935484
0.297929,1.935484
0.299047,1.935484
0.299877,1.935484
0.300749,1.935484
0.301679,1.940371
0.302618,1.935484
0.303407,1.935484
0.304301,1.940371
0.305177,1.940371
0.305910,1.935484
0.306607,1.935484
0.307330,1.940371
0.308055,1.935484
0.308747,1.935484
0.309444,1.940371
0.310176,1.940371
0.310885,1.935484
0.311602,1.940371
0.312332,1.935484
0.313076,1.935484
0.313780,1.940371
0.314521,1.930596
0.315235,1.935484
0.315895,1.930596
0.316604,1.935484
0.317320,1.940371
0.318063,1.940371
0.318801,1.940371
0.319528,1.935484
0.320245,1.940371
0.320988,1.935484
0.321734,1.940371
0.322470,1.935484
0.323235,1.935484
0.323964,1.935484
0.324675,1.940371
0.325375,1.935484
0.326125,1.935484
0.326911,1.940371
0.327627,1.935484
0.328346,1.930596
0.328999,1.930596
0.329730,1.935484
0.330495,1.940371
0.331213,1.940371
0.331944,1.935484
0.332668,1.940371
0.333338,1.935484
0.334002,1.930596
0.334678,1.940371
0.335366,1.935484
0.336028,1.930596
0.336758,1.930596
0.337487,1.940371
0.338166,1.930596
0.338835,1.940371
0.339499,1.940371
0.340166,1.940371
0.340821,1.935484
0.341504,1.940371
0.342167,1.940371
0.342831,1.935484
0.343516,1.935484
0.344193,1.935484
0.344862,1.940371
0.345538,1.935484
0.346245,1.940371
0.346928,1.940371
0.347644,1.935484
0.348302,1.935484
0.348985,1.930596
0.349653,1.930596
0.350402,1.940371
0.351129,1.940371
0.351877,1.935484
0.352627,1.935484
0.353358,1.945259
0.354098,1.940371
0.354845,1.935484
0.355579,1.940371
0.356464,1.935484
0.357187,1.935484
0.357917,1.935484
0.358644,1.930596
0.359358,1.935484
0.360061,1.935484
0.360798,1.940371
0.361529,1.935484
0.362282,1.935484
0.363028,1.935484
0.363778,1.940371
0.364505,1.935484
0.365229,1.935484
0.365956,1.940371
0.366719,1.935484
0.367456,1.935484
0.368209,1.935484
0.368949,1.940371
0.369669,1.945259
0.370384,1.935484
