время[c],напряжение[В]
0.000640,0.962854
0.001243,0.962854
0.002012,0.962854
0.002689,0.962854
0.003372,0.967742
0.005137,0.967742
0.005976,0.967742
0.006790,0.967742
0.007751,0.967742
0.008490,0.962854
0.009312,0.962854
0.010125,0.967742
0.010919,0.967742
0.011746,0.967742
0.013839,0.972630
0.014592,0.967742
0.015418,0.967742
0.016152,0.972630
0.016911,0.967742
0.017594,0.962854
0.018375,0.962854
0.019083,0.967742
0.019839,0.962854
0.020508,0.967742
0.021185,0.967742
0.022150,0.967742
0.023022,0.967742
0.023890,0.972630
0.024736,0.972630
0.025422,0.967742
0.026106,0.972630
0.026792,0.972630
0.027446,0.967742
0.028359,0.967742
0.030150,0.962854
0.030887,0.967742
0.031588,0.967742
0.032407,0.972630
0.033056,0.967742
0.033674,0.967742
0.034268,0.967742
0.034863,0.972630
0.035467,0.962854
0.043522,0.967742
0.044130,0.972630
0.044750,0.972630
0.045382,0.967742
0.046054,0.967742
0.046721,0.967742
0.047388,0.967742
0.048041,0.967742
0.048681,0.972630
0.049309,0.972630
0.049975,0.972630
0.050631,0.967742
0.051293,0.967742
0.051943,0.972630
0.052592,0.967742
0.053223,0.972630
0.053861,0.972630
0.054509,0.972630
0.055157,0.967742
0.055830,0.967742
0.056465,0.967742
0.057127,0.972630
0.057751,0.967742
0.058457,0.972630
0.059107,0.972630
0.059761,0.972630
0.060406,0.972630
0.061073,0.972630
0.061726,0.972630
0.062360,0.967742
0.063063,0.967742
0.063762,0.967742
0.064457,0.972630
0.065126,0.967742
0.065798,0.967742
0.066452,0.967742
0.067134,0.967742
0.067811,0.967742
0.068470,0.967742
0.069106,0.967742
0.069753,0.962854
0.070359,0.967742
0.070934,0.972630
0.071503,0.972630
0.072067,0.967742
0.072642,0.967742
0.073214,0.972630
0.073849,0.967742
0.074468,0.972630
0.075098,0.972630
0.075751,0.967742
0.076364,0.972630
0.077027,0.972630
0.077715,0.972630
0.078386,0.972630
0.079090,0.972630
0.079772,0.972630
0.080451,0.977517
0.081101,0.967742
0.081717,0.972630
0.082331,0.972630
0.082978,0.967742
0.083605,0.967742
0.084216,0.967742
0.084818,0.972630
0.085439,0.967742
0.086228,0.972630
0.086900,0.962854
0.087700,0.967742
0.088448,0.967742
0.089140,0.972630
0.089903,0.967742
0.090828,0.967742
0.091646,0.967742
0.092396,0.967742
0.093145,0.972630
0.093911,0.967742
0.094627,0.972630
0.095336,0.967742
0.096074,0.972630
0.096807,0.977517
0.097590,0.967742
0.098481,0.967742
0.099343,0.977517
0.100084,0.972630
0.100821,0.967742
0.101517,0.972630
0.102238,0.967742
0.103049,0.972630
0.103720,0.972630
0.104375,0.972630
0.105038,0.972630
0.105718,0.972630
0.106372,0.972630
0.107039,0.972630
0.107739,0.972630
0.108451,0.967742
0.109173,0.967742
0.109917,0.967742
0.110793,0.967742
0.111694,0.972630
0.112440,0.972630
0.113171,0.967742
0.113857,0.967742
0.114564,0.967742
0.115336,0.967742
0.116208,0.972630
0.116944,0.967742
0.117625,0.972630
0.118270,0.972630
0.118892,0.972630
0.119507,0.972630
0.120126,0.972630
0.120756,0.967742
0.121385,0.967742
0.122058,0.967742
0.122710,0.967742
0.123375,0.972630
0.124040,0.972630
0.124680,0.972630
0.125340,0.972630
0.125977,0.972630
0.126623,0.972630
0.127292,0.972630
0.127955,0.972630
0.128642,0.967742
0.129380,0.967742
0.130204,0.967742
0.130950,0.972630
0.131809,0.967742
0.132531,0.967742
0.133304,0.967742
0.134006,0.972630
0.134688,0.967742
0.135341,0.967742
0.136027,0.967742
0.136738,0.972630
0.137393,0.967742
0.138052,0.967742
0.138719,0.972630
0.139423,0.972630
0.140135,0.972630
0.140805,0.967742
0.141525,0.972630
0.142161,0.972630
0.142796,0.967742
0.143428,0.967742
0.144072,0.972630
0.144720,0.967742
0.145414,0.962854
0.146238,0.967742
0.146977,0.967742
0.147762,0.967742
0.148439,0.962854
0.149070,0.972630
0.149695,0.967742
0.150327,0.967742
0.150948,0.972630
0.151537,0.972630
0.152123,0.972630
0.152774,0.967742
0.153436,0.972630
0.154113,0.967742
0.154779,0.967742
0.155425,0.967742
0.156075,0.967742
0.156753,0.972630
0.157377,0.967742
0.157977,0.967742
0.158544,0.967742
0.159102,0.967742
0.159656,0.967742
0.160212,0.967742
0.160765,0.967742
0.161321,0.967742
0.161874,0.967742
0.162437,0.967742
0.163034,0.962854
0.163606,0.967742
0.164161,0.972630
0.164717,0.972630
0.165274,0.967742
0.165858,0.967742
0.166477,0.972630
0.167066,0.967742
0.167646,0.972630
0.168217,0.967742
0.168818,0.967742
0.169458,0.972630
0.170091,0.967742
0.170716,0.972630
0.171300,0.972630
0.171872,0.972630
0.172438,0.967742
0.173055,0.967742
0.173674,0.967742
0.174289,0.967742
0.174930,0.967742
0.175553,0.967742
0.176141,0.967742
0.176765,0.967742
0.177380,0.967742
0.177997,0.967742
0.178585,0.967742
0.179206,0.972630
0.179885,0.967742
0.180555,0.967742
0.181150,0.967742
0.181801,0.972630
0.182455,0.967742
0.183080,0.967742
0.183722,0.972630
0.184339,0.972630
0.184972,0.972630
0.185634,0.972630
0.186285,0.967742
0.186918,0.967742
0.187520,0.962854
0.188093,0.967742
0.188696,0.967742
0.189299,0.967742
0.189958,0.967742
0.190558,0.967742
0.191221,0.967742
0.191825,0.972630
0.192444,0.972630
0.193212,0.972630
0.193877,0.967742
0.194598,0.967742
0.195376,0.967742
0.196118,0.967742
0.196867,0.967742
0.197626,0.967742
