время[c],напряжение[В]
0.000642,2.634409
0.001260,2.644184
0.001889,2.634409
0.002549,2.644184
0.003206,2.639296
0.003867,2.639296
0.004550,2.644184
0.005252,2.644184
0.005919,2.639296
0.006592,2.644184
0.007312,2.639296
0.007991,2.644184
0.008656,2.639296
0.009380,2.639296
0.010091,2.644184
0.010768,2.639296
0.011463,2.644184
0.012202,2.644184
0.012866,2.649071
0.013540,2.644184
0.014186,2.639296
0.014933,2.644184
0.015646,2.649071
0.016306,2.644184
0.016949,2.644184
0.017581,2.644184
0.018217,2.639296
0.018845,2.649071
0.019536,2.644184
0.020193,2.644184
0.020895,2.644184
0.021559,2.644184
0.022294,2.649071
0.022968,2.644184
0.023709,2.649071
0.024371,2.649071
0.025116,2.644184
0.026548,2.639296
0.027733,2.649071
0.029082,2.644184
0.029769,2.639296
0.030429,2.644184
0.031106,2.644184
0.031759,2.639296
0.032462,2.639296
0.033137,2.649071
0.033797,2.644184
0.034449,2.639296
0.035161,2.639296
0.035804,2.644184
0.036445,2.639296
0.037089,2.653959
0.037733,2.644184
0.038410,2.639296
0.039073,2.644184
0.039705,2.644184
0.040404,2.644184
0.041076,2.644184
0.041760,2.644184
0.042447,2.644184
0.043144,2.639296
0.043886,2.644184
0.044743,2.644184
0.045491,2.644184
0.046221,2.639296
0.046883,2.649071
0.047543,2.663734
0.048199,2.649071
0.048851,2.653959
0.049508,2.649071
0.050179,2.644184
0.050783,2.639296
0.051385,2.644184
0.051999,2.649071
0.052593,2.639296
0.053181,2.649071
0.053770,2.639296
0.054370,2.649071
0.055042,2.653959
0.055641,2.644184
0.056248,2.649071
0.056877,2.644184
0.057513,2.653959
0.058178,2.644184
0.058844,2.653959
0.059485,2.644184
0.060141,2.653959
0.060823,2.649071
0.061498,2.644184
0.062186,2.644184
0.062902,2.644184
0.063580,2.649071
0.064292,2.649071
0.064997,2.644184
0.065694,2.644184
0.066380,2.649071
0.067058,2.649071
0.067736,2.644184
0.068434,2.653959
0.069136,2.649071
0.069835,2.649071
0.070534,2.653959
0.071223,2.653959
0.071906,2.649071
0.072593,2.644184
0.073277,2.653959
0.073963,2.653959
0.074731,2.649071
0.075432,2.644184
0.076142,2.649071
0.076833,2.649071
0.077529,2.649071
0.078219,2.653959
0.078919,2.649071
0.079651,2.653959
0.080353,2.649071
0.081081,2.649071
0.081774,2.649071
0.082469,2.649071
0.083162,2.653959
0.083866,2.649071
0.084617,2.649071
0.085344,2.649071
0.086049,2.653959
0.086742,2.649071
0.087449,2.644184
0.088150,2.649071
0.088857,2.649071
0.089545,2.649071
0.090227,2.649071
0.090933,2.644184
0.091622,2.649071
0.092321,2.653959
0.093024,2.649071
0.093723,2.649071
0.094405,2.649071
0.095093,2.649071
0.095790,2.644184
0.096482,2.649071
0.097177,2.644184
0.097873,2.649071
0.098558,2.653959
0.099261,2.649071
0.099959,2.653959
0.100660,2.644184
0.101386,2.649071
0.102104,2.649071
0.102803,2.644184
0.103504,2.649071
0.104199,2.653959
0.104904,2.653959
0.105613,2.649071
0.106299,2.653959
0.107008,2.644184
0.107702,2.644184
0.108435,2.649071
0.109134,2.649071
0.109833,2.644184
0.110546,2.649071
0.111233,2.649071
0.112011,2.649071
0.112833,2.644184
0.113839,2.649071
0.114552,2.644184
0.115360,2.644184
0.116159,2.639296
0.116966,2.639296
0.117693,2.644184
0.118397,2.644184
0.119117,2.644184
0.119857,2.649071
0.120576,2.649071
0.121337,2.649071
0.122161,2.644184
0.122939,2.644184
0.123785,2.644184
0.124604,2.649071
0.125328,2.649071
0.126062,2.644184
0.126875,2.653959
0.127795,2.653959
0.128766,2.649071
0.129565,2.644184
0.130395,2.644184
0.131207,2.649071
0.131994,2.644184
0.132950,2.644184
0.134016,2.644184
0.134909,2.644184
0.135763,2.649071
0.136451,2.644184
0.137424,2.639296
0.138331,2.639296
0.139231,2.644184
0.140058,2.639296
0.140798,2.644184
0.141752,2.649071
0.142579,2.644184
0.143365,2.649071
0.144149,2.649071
0.144866,2.644184
0.145634,2.649071
0.146432,2.644184
0.147149,2.644184
0.147858,2.649071
0.148573,2.644184
0.149320,2.653959
0.150071,2.639296
0.150824,2.644184
0.151545,2.644184
0.152273,2.644184
0.153044,2.649071
0.153733,2.649071
0.154425,2.649071
0.155170,2.649071
0.155997,2.649071
0.156707,2.644184
0.157425,2.644184
0.158174,2.649071
0.158895,2.649071
0.159633,2.644184
0.160330,2.653959
0.161000,2.653959
0.161668,2.649071
0.162344,2.653959
0.163025,2.653959
0.163668,2.658847
0.164310,2.653959
0.164969,2.649071
0.165617,2.649071
0.166246,2.658847
0.166902,2.658847
0.167604,2.653959
0.168260,2.649071
0.168930,2.653959
0.169640,2.653959
0.170384,2.653959
0.171044,2.649071
0.171718,2.644184
0.172439,2.644184
0.173090,2.653959
0.173769,2.649071
0.174451,2.644184
0.175184,2.644184
0.175883,2.649071
0.176560,2.649071
0.177241,2.653959
0.177942,2.644184
0.178621,2.639296
0.179327,2.649071
0.180019,2.649071
0.180695,2.649071
0.181382,2.644184
0.182070,2.649071
0.182765,2.644184
0.183458,2.644184
0.184128,2.644184
0.184802,2.649071
0.185472,2.644184
0.186166,2.644184
0.186864,2.644184
0.187547,2.644184
0.188248,2.644184
0.188948,2.649071
0.189651,2.653959
0.190347,2.644184
0.191038,2.644184
0.191770,2.649071
0.192476,2.644184
0.193221,2.644184
0.193939,2.649071
0.194636,2.649071
0.195325,2.653959
0.195985,2.649071
0.196648,2.649071
0.197316,2.649071
0.198010,2.649071
0.198690,2.653959
0.199369,2.649071
0.200047,2.653959
0.200716,2.649071
0.201413,2.649071
0.202084,2.649071
0.202758,2.639296
0.203444,2.649071
0.204141,2.644184
0.204826,2.649071
0.205499,2.653959
0.206160,2.649071
0.206832,2.649071
0.207528,2.649071
0.208243,2.644184
0.208958,2.639296
0.209647,2.649071
0.210353,2.644184
0.211056,2.644184
0.211749,2.644184
0.212437,2.649071
0.213105,2.644184
0.213770,2.644184
0.214434,2.644184
0.215235,2.649071
0.215942,2.644184
0.216687,2.639296
0.217464,2.639296
0.218205,2.653959
0.219030,2.644184
0.220029,2.644184
0.220962,2.644184
0.221752,2.649071
0.222510,2.649071
0.223212,2.649071
0.223966,2.653959
0.224710,2.644184
0.225536,2.639296
0.226403,2.644184
0.227278,2.649071
0.228196,2.639296
0.228931,2.644184
0.229642,2.644184
0.230359,2.653959
0.231087,2.644184
0.231835,2.653959
0.232554,2.649071
0.233361,2.649071
0.234207,2.644184
0.235074,2.644184
0.236306,2.644184
0.237050,2.639296
0.237964,2.639296
0.238838,2.644184
0.239645,2.644184
0.240442,2.644184
0.241236,2.649071
0.242128,2.649071
0.242868,2.644184
0.243594,2.644184
0.244282,2.639296
0.244978,2.649071
0.245676,2.644184
0.246359,2.649071
0.247048,2.644184
0.247723,2.639296
0.248404,2.639296
0.249106,2.644184
0.249794,2.639296
0.250468,2.639296
0.251173,2.644184
0.251851,2.644184
0.252543,2.639296
0.253231,2.639296
0.253922,2.644184
0.254636,2.644184
0.255332,2.644184
0.256030,2.644184
0.256713,2.644184
0.257393,2.644184
0.258096,2.639296
0.258808,2.653959
0.259528,2.649071
0.260222,2.644184
0.260911,2.644184
0.261607,2.644184
0.262304,2.639296
0.262985,2.644184
0.263663,2.644184
0.264345,2.639296
0.265039,2.649071
0.265702,2.639296
0.266409,2.639296
0.267099,2.639296
0.267784,2.639296
0.268461,2.649071
0.269136,2.644184
0.269813,2.644184
0.270500,2.639296
0.271188,2.649071
0.271872,2.644184
0.272556,2.634409
0.273237,2.639296
0.273920,2.644184
0.274616,2.639296
0.275392,2.639296
0.276087,2.634409
0.276778,2.639296
0.277466,2.634409
0.278158,2.644184
0.278848,2.644184
