время[c],напряжение[В]
0.000639,3.054741
0.001226,3.064516
0.001833,3.069404
0.002474,3.079179
0.003119,3.069404
0.003783,3.069404
0.004455,3.084066
0.005115,3.074291
0.005754,3.074291
0.006416,3.074291
0.007107,3.074291
0.007819,3.074291
0.008510,3.074291
0.009157,3.074291
0.009868,3.074291
0.010555,3.074291
0.011230,3.069404
0.011958,3.074291
0.012908,3.064516
0.013603,3.069404
0.014270,3.069404
0.014971,3.074291
0.015639,3.074291
0.016301,3.069404
0.016964,3.069404
0.017653,3.074291
0.018403,3.074291
0.019099,3.074291
0.019781,3.084066
0.020456,3.074291
0.021090,3.074291
0.021715,3.079179
0.022331,3.084066
0.023041,3.079179
0.023702,3.079179
0.024400,3.069404
0.025097,3.069404
0.025766,3.069404
0.026546,3.074291
0.027215,3.074291
0.027903,3.079179
0.028567,3.069404
0.029228,3.074291
0.029887,3.079179
0.030566,3.074291
0.031206,3.069404
0.031857,3.074291
0.032496,3.074291
0.033149,3.074291
0.033781,3.074291
0.034420,3.074291
0.035065,3.069404
0.035731,3.074291
0.036399,3.069404
0.037052,3.074291
0.037678,3.069404
0.038297,3.074291
0.038962,3.079179
0.039657,3.074291
0.040328,3.069404
0.040991,3.074291
0.041642,3.074291
0.042276,3.074291
0.042930,3.069404
0.043571,3.084066
0.044235,3.069404
0.044821,3.079179
0.045384,3.084066
0.045938,3.079179
0.046495,3.084066
0.047050,3.079179
0.047605,3.074291
0.048159,3.088954
0.048717,3.084066
0.049274,3.079179
0.049831,3.079179
0.050388,3.074291
0.050968,3.079179
0.051553,3.069404
0.052127,3.074291
0.053855,3.069404
0.054452,3.079179
0.055037,3.069404
0.055607,3.074291
0.056172,3.079179
0.056742,3.074291
0.057321,3.074291
0.057917,3.079179
0.058488,3.079179
0.059055,3.074291
0.059617,3.079179
0.060209,3.074291
0.060825,3.074291
0.061453,3.084066
0.062056,3.079179
0.062663,3.074291
0.063267,3.074291
0.063836,3.074291
0.064414,3.074291
0.064983,3.079179
0.065678,3.074291
0.066258,3.079179
0.066878,3.074291
0.067482,3.079179
0.068063,3.074291
0.068691,3.069404
0.069276,3.079179
0.069899,3.074291
0.070551,3.074291
0.071163,3.074291
0.071748,3.079179
0.072385,3.069404
0.073062,3.079179
0.073733,3.084066
0.074340,3.079179
0.075075,3.074291
0.075680,3.079179
0.076250,3.084066
0.076828,3.079179
0.077477,3.079179
0.078128,3.079179
0.078771,3.069404
0.079359,3.084066
